题号,题目,答案
1,数据仓库中的数据是实时更新的。,False
2,OLTP系统主要负责日常的事务处理，而OLAP系统负责复杂分析。,True
3,维度建模完全遵循数据库的第三范式。,False
4,事实表通常包含大量的外键和数值型度量。,True
5,ETL过程只在数据仓库初始化时执行一次。,False
6,数据挖掘可以发现数据之间潜在的、未知的、有价值的模式。,True
7,关联规则的支持度越高，规则一定越有用。,False
8,Apriori算法是一种产生频繁项集的迭代方法。,True
9,决策树算法只能处理分类问题，不能处理回归问题。,False
10,在K-Means聚类中，初始中心点的选择对最终结果没有影响。,False
11,聚类分析是一种有监督的学习方法。,False
12,贝叶斯分类需要类条件独立假设。,True
13,K-近邻（KNN）是一种惰性学习算法。,True
14,支持向量机（SVM）只能处理线性可分的数据。,False
15,逻辑回归的输出值是连续的概率值。,True
16,准确率是评估分类模型唯一可靠的指标。,False
17,在类别不平衡的数据集中，精准率和召回率比准确率更重要。,True
18,交叉验证可以用来评估模型的泛化能力。,True
19,随机森林通过降低方差来提高模型性能。,True
20,主成分分析（PCA）是一种有监督的降维方法。,False
21,数据规范化可以消除数据中的噪声。,False
22,处理缺失值时，直接删除有缺失值的记录总是最好的方法。,False
23,离群点总是错误数据，应该被删除。,False
24,文本挖掘中的词袋模型考虑了词语的顺序信息。,False
25,TF-IDF值高的词，意味着它在某个文档中频繁出现，并且在所有文档中都频繁出现。,False
26,Web挖掘只关注网页的文本内容。,False
27,时间序列预测需要考虑数据的周期性。,True
28,数据挖掘可以确保100%准确地预测未来。,False
29,数据挖掘模型构建得越复杂，其在实际应用中的效果就一定越好。,False
30,业务理解是CRISP-DM模型的第一步，也是至关重要的一步。,True
31,数据仓库是数据集市的一个子集。,False
32,雪花模式比星型模式查询性能更好。,False
33,缓慢变化维类型2可以记录维度成员的历史变化。,True
34,OLAP操作中的钻取可以沿着维的层次向下，查看更详细的数据。,True
35,关联规则挖掘中，置信度衡量的是规则的精确度。,True
36,FP-Growth算法不需要生成候选项集。,True
37,信息增益在选择属性时，会对取值数目较多的属性有偏好。,True
38,基尼指数越大，表示数据集的纯度越高。,False
39,DBSCAN聚类算法对噪声数据不敏感。,True
40,大数据中的“价值密度高”意味着大数据中蕴含的价值比例很高。,False
