题号,题目,选项A,选项B,选项C,选项D,答案
1,数据仓库数据的哪个特性意味着数据一旦进入数据仓库，一般不会被修改或删除？,面向主题,集成性,非易失性,时变性,C
2,以下哪项不是数据仓库的特点？,面向事务,面向分析,数据集成,历史数据,A
3,数据仓库的概念是由谁提出的？,E.F. Codd,Bill Inmon,Raymond Agrawal,Jiawei Han,B
4,关于ODS（操作数据存储）的说法，错误的是？,面向主题的,集成的,当前的或近当前的,主要用于长期的历史分析,D
5,数据仓库的最终目的是？,存储海量数据,进行联机事务处理（OLTP）,支持管理决策,替代数据库,C
6,“数据超市”通常是指？,整个企业的中央数据仓库,面向特定部门或主题的小型数据仓库,ODS,源数据库,B
7,在数据仓库的三层架构中，不包括以下哪一层？,数据源层,ETL层,数据仓库存储层,业务应用层,D
8,元数据不包含以下哪种信息？,数据源的描述,数据转换规则,具体的销售记录,数据粒度的定义,C
9,数据仓库的数据粒度描述了数据的？,质量水平,详细程度,来源渠道,存储格式,B
10,以下关于数据仓库和数据库的说法，正确的是？,数据仓库是数据库的替代品,数据库主要用于复杂分析，数据仓库用于日常事务处理,数据仓库的数据来源于多个异构的操作型数据库,数据库和数据仓库没有区别,C
11,在星型模式中，事实表与维度表之间的关系通常是？,一对一,多对多,一对多,没有关系,C
12,以下哪张表最可能是一个事实表？,商品表（商品ID，商品名称，类别）,客户表（客户ID，客户姓名，地址）,销售记录表（交易ID，时间ID，商品ID，客户ID，销售金额）,日期表（日期ID，年，月，日）,C
13,雪花模式与星型模式的主要区别在于？,事实表的结构不同,维度表是否进行了规范化,包含的维度数量不同,数据量大小不同,B
14,以下哪个OLAP操作可以将不同城市的数据汇总到国家级别？,切片,切块,钻取,上卷,D
15,哪个OLAP操作是固定一个维度的成员，观察其他维度的数据？,切片,旋转,钻取,上卷,A
16,关于维度表中的“缓慢变化维”问题，以下哪种解决方案是直接用新值覆盖旧值？,类型1,类型2,类型3,类型4,A
17,哪种缓慢变化维解决方案会添加新的维度行来保存历史记录？,类型1,类型2,类型3,类型4,B
18,在事实表中，最常见的键是？,主键,外键,代理键,唯一键,B
19,多维表达式（MDX）主要用于？,关系数据库查询,数据挖掘算法实现,多维数据库查询,ETL过程开发,C
20,以下关于粒度说法错误的是？,低粒度数据细节丰富，存储空间大,高粒度数据是高度汇总的数据,粒度设计不影响查询性能,粒度设计需要在存储成本和查询需求之间平衡,C
21,ETL过程中的“T”代表什么？,传输,转换,交易,测试,B
22,以下哪项不是数据清洗的主要任务？,处理缺失值,平滑噪声数据,数据集成,识别并消除异常点,C
23,将数据按比例缩放，使之落入一个特定的区间（如[0,1]）的方法是？,数据清洗,最小-最大规范化,z-score规范化,数据聚合,B
24,使用数据的均值和标准差进行规范化，得到均值为0，标准差为1的数据分布的方法是？,小数定标规范化,z-score规范化,最小-最大规范化,对数变换,B
25,将多个数据源中的数据合并并存放到一个一致的数据存储（如数据仓库）中的过程是？,数据清洗,数据集成,数据变换,数据归约,B
26,数据归约技术不包括？,数据立方体聚合,维度归约（如PCA）,数值归约（如回归、聚类）,数据加密,D
27,主成分分析（PCA）是一种？,分类技术,聚类技术,维度归约技术,关联规则挖掘技术,C
28,处理缺失值时，用一个全局常量（如“unknown”）填充，这种方法的主要缺点是？,计算复杂,可能会扭曲数据的分布,无法处理数值型数据,以上都是,B
29,在数据集成中，来自不同数据源的同一个实体，由于命名不同而导致的问题称为？,冗余问题,不一致问题,实体识别问题,模式集成问题,C
30,以下哪种方法不是处理数据冗余的方法？,相关性分析,协方差计算,主成分分析,决策树,D
31,数据挖掘是以下哪个数据库阶段的发展？,数据采集,数据管理,数据分析和理解,数据存储,C
32,以下哪项不是数据挖掘的主要任务？,分类与预测,聚类分析,关联规则挖掘,联机事务处理,D
33,关联规则挖掘的目的是发现数据中项与项之间的？,因果关系,相关关系,函数关系,逻辑关系,B
34,关联规则A->B的置信度为60%表示？,所有事务中60%同时包含A和B,包含A的事务中，有60%也包含B,包含B的事务中，有60%也包含A,A和B同时出现的概率是60%,B
35,Apriori算法利用了什么性质来提高效率？,任何频繁项集的子集都是频繁的,任何非频繁项集的超集都是非频繁的,任何频繁项集的超集都是频繁的,任何非频繁项集的子集都是非频繁的,B
36,除了Apriori，另一种常见的关联规则挖掘算法是？,K-Means,FP-Growth,ID3,PageRank,B
37,如果最小支持度设置过高，会导致？,发现过多的规则,可能漏掉一些有意义的规则,计算时间变长,规则置信度降低,B
38,评估关联规则除了支持度和置信度，还可以用？,准确率,召回率,提升度,F1值,C
39,序列模式挖掘与关联规则挖掘的主要区别是？,不考虑支持度,考虑了时间顺序,不考虑置信度,只能用于数值型数据,B
40,“啤酒与尿布”的故事是哪种数据挖掘任务的典型例子？,分类,聚类,关联规则,异常检测,C
41,以下哪种算法是分类算法？,K-Means,Apriori,决策树,DBSCAN,C
42,决策树中，ID3算法使用什么来选择分裂属性？,基尼指数,信息增益,增益率,分类错误率,B
43,C4.5决策树算法使用什么来克服信息增益对多值属性的偏好？,基尼指数,信息增益,增益率,分类错误率,C
44,在决策树构建过程中，停止分裂的条件不包括？,节点中所有样本属于同一类,没有属性可用于进一步分裂,树深度达到预设值,模型在训练集上准确率达到100%,D
45,朴素贝叶斯分类器的“朴素”之处在于？,假设属性之间相互独立,算法实现简单,分类效果一般,不需要训练,A
46,K-近邻（KNN）算法在分类时，对于未知样本，根据什么确定其类别？,距离它最近的K个样本的多数类别,距离它最远的K个样本的多数类别,所有样本的类别平均值,随机猜测,A
47,支持向量机（SVM）寻找的最佳超平面是？,距离所有样本点最近,距离正类样本最近,距离负类样本最近,距离两类样本边界点（支持向量）最远,D
48,当数据线性不可分时，SVM通过什么方法处理？,引入松弛变量,使用核函数,A和B都可以,无法处理,C
49,以下关于逻辑回归的说法，正确的是？,是一种回归算法，用于预测连续值,是一种分类算法，输出是概率值,不需要训练过程,只能处理二分类问题,B
50,在评估分类模型时，真正例（TP）是指？,实际为正类，预测也为正类的样本数,实际为负类，预测为正类的样本数,实际为正类，预测为负类的样本数,实际为负类，预测也为负类的样本数,A
51,准确率的计算公式是？,TP/(TP+FP),TP/(TP+FN),(TP+TN)/(TP+TN+FP+FN),(TP+FP)/(TP+TN+FP+FN),C
52,精准率（Precision）的计算公式是？,TP/(TP+FP),TP/(TP+FN),(TP+TN)/(TP+TN+FP+FN),(TP+FP)/(TP+TN+FP+FN),A
53,召回率（Recall）的计算公式是？,TP/(TP+FP),TP/(TP+FN),(TP+TN)/(TP+TN+FP+FN),(TP+FP)/(TP+TN+FP+FN),B
