题号,题目,选项A,选项B,选项C,选项D,答案
1,以下哪种文本格式在使用 Python 读取时不需要额外安装第三方库？,.txt,.docx,.pdf,.xlsx,A
2,使用 jieba 分词的lcut_for_search方法对应的是哪种分词模式？,精确模式,全模式,搜索引擎模式,自定义模式,C
3,文本预处理中，去停用词操作不适用于以下哪种 NLP 任务？,文本分类,机器翻译,情感分析,文本聚类,B
4,Ollama 本地部署大模型后，若需再次启动推理界面，应使用的命令是？,ollama install <模型名>,ollama run <模型名>,ollama start <模型名>,ollama load <模型名>,B
5,调用智谱清言 API 时，将 API Key 放入环境变量后，在 Python 中应通过哪个库获取？,requests,zhipuai,os,json,C
6,情感分析任务中，将 4 星、5 星标注为 1，1 星、2 星标注为 -1，3 星标注为 0，这种标注方式属于哪种分类类型？,二分类,三分类,多分类,回归任务,B
7,词袋模型的核心缺陷是什么？,无法处理长文本,忽略词的顺序和语义关联,计算复杂度极高,对停用词敏感,B
8,sklearn 中用于实现 TF-IDF 文本向量化的工具是？,CountVectorizer,TfidfVectorizer,Word2Vec,BERTTokenizer,B
9,特征选择中，信息增益与特征重要性的关系是？,信息增益越高，特征越不重要,信息增益越低，特征越重要,信息增益越高，特征越重要,无直接关联,C
10,模型评价指标中，精确率（Precision）主要衡量的是？,预测正确的样本占总样本的比例,实际正例被正确预测的比例,预测为正例的样本中实际为正例的比例,正负例预测的综合性能,C
11,TextRank 算法构建词汇共现网络时，通常基于什么确定词汇连接？,词汇语义相似度,词汇在文本中的窗口范围内相邻关系,词汇词性一致性,词汇出现频率,B
12,词云图（WordCloud）默认采用哪种方法进行可视化权重计算？,TF-IDF,TextRank,词频法,信息增益,C
13,LDA 模型中文本-主题分布表示的是？,每个主题包含的词及其概率,每篇文档属于各个主题的概率,词与主题的映射关系,文档与词的共现概率,B
14,确定 LDA 模型最佳主题数量时，“手肘法”基于哪个指标的变化曲线？,准确率,困惑度,召回率,F1 值,B
15,LangChain 中，用于加载本地文档的工具是？,DocumentLoaders,VectorStore,Retriever,TextSplitter,A
16,检索增强生成（RAG）中，将知识库分片向量化后存储在哪个组件中？,EmbeddingModel,VectorStore,Retriever,LLM,B
17,K-means 算法中，“肘部”对应的 K 值是指？,聚类误差最小的 K 值,聚类误差下降速度由快变慢的 K 值,聚类数量最多的 K 值,聚类纯度最高的 K 值,B
18,以下哪种聚类算法完全无需任何预设参数即可确定簇数？,K-means,近邻传播聚类（AP）,层次聚类,DBSCAN,B
19,word2vec 中，sg 参数设置为 0 时使用的模型是？,CBOW,Skip-gram,GloVe,FastText,A
20,FastText 词向量相比 word2vec 的核心优势是？,训练速度更快,支持多语言,考虑了子词信息,所需语料更少,C
21,BERT 模型的下一句预测（NSP）任务主要用于学习什么？,词的语义表示,句子间的逻辑关系,文本的情感倾向,词汇的共现关系,B
22,使用 Hugging Face Transformers 库加载 BERT 模型时，return_tensors='pt'表示返回哪种格式的数据？,NumPy 数组,TensorFlow 张量,PyTorch 张量,字典,C
23,SentenceTransformer 库的核心功能是？,文本分类,句子向量提取,机器翻译,文本生成,B
24,BERTopic 主题建模流程的第一步是？,句子降维,句子聚类,句子向量化,关键词提取,C
25,BERTopic 默认使用的聚类算法是？,K-means,HDBSCAN,AP 聚类,DBSCAN,B
26,LangChain 中，用于实现多步骤任务顺序调用的工具是？,LLMChain,SimpleSequentialChain,RouterChain,SummarizeChain,B
27,异步链相比同步链的核心优势是？,结果更准确,支持多轮对话,并行执行，减少耗时,适用场景更广,C
28,路由链（RouterChain）的核心作用是？,优化模型性能,自动选择合适的链处理请求,拆分长文本,保存对话记忆,B
29,摘要链（SummarizeChain）处理长文本时，首先需要执行的步骤是？,文本向量化,文本分词,长文本拆分,关键词提取,C
30,中文文本分词中，若需自定义分词规则，jieba 库中应使用哪个函数添加自定义词？,jieba.cut,jieba.lcut,jieba.add_word,jieba.load_userdict,C
31,文本标注任务中，命名实体识别（NER）的标签 “B-PER” 表示什么？,人名实体的开始,人名实体的中间,组织机构实体的开始,地名实体的开始,A
32,机器翻译任务中，文本标注的核心是构建什么映射关系？,源语言与目标语言的词汇映射,文本与情感的映射,句子与主题的映射,实体与关系的映射,A
33,数据预处理中，去除 html 代码、css 标签等非文本内容应使用什么工具？,jieba,Beautiful Soup,nltk,pandas,B
34,传统机器学习中，文本向量化后生成的向量属于哪种类型？,稀疏向量,稠密向量,一维向量,三维向量,A
35,大模型本地部署时，Ollama 支持的硬件加速方式不包括？,CPU,GPU,内存,TPU,C
36,提示词工程中，“Let's think step by step” 主要用于提升大模型的哪种能力？,文本生成能力,逻辑推理能力,情感分析能力,多语言处理能力,B
37,方面级情感分析与普通情感分析的区别在于？,仅分析正面情感,仅分析负面情感,针对文本特定属性进行情感判断,准确率更高,C
38,多属性决策中，属性权重的确定方法不包括？,AHP 法,关注度统计法,困惑度法,主观赋权法,C
39,卡诺（Kano）模型在 NLP 应用中的主要用途是？,情感分类,主题提取,改进决策，确定属性优先级,文本聚类,C
40,BERT 模型中，遮蔽语言模型（MLM）任务中，10% 的情况下被选择的单词会被什么替换？,[MASK],随机单词,保持不变,[PAD],B
