日期,开盘,收盘,最高,最低,成交量
2006-08-14,1000.0,1251.99,1265.7,986.3,63326913
2006-08-15,1251.99,1001.35,1260.11,993.24,53615346
2006-08-16,1001.35,885.89,1006.96,880.29,77598759
2006-08-17,885.89,1009.69,1014.71,880.88,58147606
2006-08-18,1009.69,1077.26,1082.39,1004.56,56180727
2006-08-21,1077.26,1036.4,1089.63,1024.03,57027313
2006-08-22,1036.4,893.94,1041.79,888.55,66480126
2006-08-23,893.94,870.98,897.13,867.78,71785441
2006-08-24,870.98,781.94,875.15,777.77,61645432
2006-08-25,781.94,716.11,784.13,713.93,70335738
2006-08-28,716.11,700.92,721.93,695.1,98040021
2006-08-29,700.92,637.45,704.94,633.43,119180708
2006-08-30,637.45,604.45,640.24,601.66,76208507
2006-08-31,604.45,575.12,606.44,573.13,85770031
2006-09-01,575.12,769.78,775.23,569.66,91787046
2006-09-04,769.78,639.8,773.72,635.85,79078244
2006-09-05,639.8,603.16,642.03,600.93,100375592
2006-09-06,603.16,511.97,605.31,509.82,85443184
2006-09-07,511.97,690.77,695.6,507.14,83800287
2006-09-08,690.77,576.92,692.54,575.15,65010710
2006-09-11,576.92,479.02,579.65,476.3,78592220
2006-09-12,479.02,432.78,481.04,430.76,103973398
2006-09-13,432.78,603.26,606.89,429.14,126016107
2006-09-14,603.26,588.03,606.93,584.36,87543653
2006-09-15,588.03,571.29,592.58,566.74,140257235
2006-09-18,571.29,492.42,573.23,490.48,120842353
2006-09-19,492.42,472.0,494.41,470.01,103539013
2006-09-20,472.0,472.34,474.62,469.71,92640482
2006-09-21,472.34,392.44,473.85,390.93,100859057
2006-09-22,392.44,582.82,586.38,388.88,111574268
2006-09-25,582.82,640.69,644.74,578.77,97973690
2006-09-26,640.69,767.97,772.56,636.1,79886328
2006-09-27,767.97,601.86,770.83,599.01,68848119
2006-09-28,601.86,520.48,604.76,517.59,84042763
2006-09-29,520.48,473.97,522.62,471.83,102811219
2006-10-09,473.97,495.36,498.32,471.01,147912825
2006-10-10,495.36,580.32,583.24,492.44,147833372
2006-10-11,580.32,577.88,583.25,574.96,125658391
2006-10-12,577.88,682.86,686.01,574.74,144983559
2006-10-13,682.86,574.61,685.42,572.05,111257483
2006-10-16,574.61,689.72,693.75,570.58,113411965
2006-10-17,689.72,709.43,712.93,686.22,94110241
2006-10-18,709.43,646.73,714.12,642.03,92505414
2006-10-19,646.73,538.38,648.62,536.48,96928294
2006-10-20,538.38,507.15,540.21,505.32,102049366
2006-10-23,507.15,884.25,893.95,497.45,112634041
2006-10-24,884.25,794.46,891.94,786.77,102786802
2006-10-25,794.46,734.01,800.0,728.47,122799742
2006-10-26,734.01,629.31,738.38,624.94,148276123
2006-10-27,629.31,815.02,821.42,622.91,171571646
2006-10-30,815.02,654.93,818.85,651.1,134817826
2006-10-31,654.93,586.8,658.23,583.5,139280233
2006-11-01,586.8,541.0,589.72,538.08,144826466
2006-11-02,541.0,583.65,586.47,538.18,156817357
2006-11-03,583.65,502.09,586.43,499.32,149385768
2006-11-06,502.09,591.98,598.84,495.23,155354749
2006-11-07,591.98,573.51,596.24,569.25,161313350
2006-11-08,573.51,687.08,690.48,570.11,109096799
2006-11-09,687.08,674.66,694.58,667.15,132016672
2006-11-10,674.66,946.64,958.04,663.25,205263906
2006-11-13,946.64,1236.34,1252.06,930.92,155421320
2006-11-14,1236.34,954.37,1247.21,943.51,136428588
2006-11-15,954.37,891.31,966.08,879.6,151363608
2006-11-16,891.31,885.97,898.83,878.45,218546835
2006-11-17,885.97,816.36,895.56,806.77,163258082
2006-11-20,816.36,734.75,822.48,728.63,198873397
2006-11-21,734.75,714.76,742.76,706.76,177933649
2006-11-22,714.76,720.51,727.84,707.43,209700508
2006-11-23,720.51,637.69,724.75,633.45,192174829
2006-11-24,637.69,684.2,689.06,632.83,187342393
2006-11-27,684.2,656.35,688.29,652.26,176157607
2006-11-28,656.35,748.72,754.19,650.88,164235312
2006-11-29,748.72,737.43,760.95,725.2,165450213
2006-11-30,737.43,680.39,745.06,672.76,217240442
2006-12-01,680.39,590.82,684.21,587.0,212907673
2006-12-04,590.82,605.31,612.52,583.61,260092115
2006-12-05,605.31,538.74,609.62,534.43,248403502
2006-12-06,538.74,894.13,911.99,520.89,300350592
2006-12-07,894.13,871.37,904.85,860.65,296443405
2006-12-08,871.37,1309.24,1328.09,852.52,244622006
2006-12-11,1309.24,1046.31,1330.75,1024.8,193656949
2006-12-12,1046.31,859.14,1055.92,849.53,220376266
2006-12-13,859.14,796.7,865.89,789.96,180558513
2006-12-14,796.7,716.99,801.68,712.01,172860763
2006-12-15,716.99,664.5,722.07,659.42,175287610
2006-12-18,664.5,634.76,671.07,628.19,227907337
2006-12-19,634.76,652.73,660.66,626.83,253151251
2006-12-20,652.73,580.46,658.05,575.14,210895232
2006-12-21,580.46,744.98,751.3,574.14,227689316
2006-12-22,744.98,796.62,802.89,738.71,181531380
2006-12-25,796.62,726.58,807.12,716.08,217000369
2006-12-26,726.58,678.65,733.78,671.45,216483303
2006-12-27,678.65,617.78,685.12,611.3,216580834
2006-12-28,617.78,629.15,636.06,610.87,239422658
2006-12-29,629.15,635.88,644.96,620.07,276271849
