日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2006-08-14,1605.2,1570.74,-35.19,-2.19%,1566.72,1611.66,25655050,1378363.88,-
2006-08-15,1568.27,1595.66,24.92,1.59%,1564.4,1596.65,20259214,1094204.0,-
2006-08-16,1596.06,1616.41,20.75,1.30%,1591.86,1616.45,28563998,1531627.88,-
2006-08-17,1612.41,1603.33,-13.08,-0.81%,1592.85,1612.41,23391902,1216697.25,-
2006-08-18,1601.57,1598.02,-5.31,-0.33%,1596.56,1614.36,23974248,1172779.88,-
2006-08-21,1565.46,1601.15,3.13,0.20%,1558.1,1602.13,23374318,1199919.0,-
2006-08-22,1601.52,1613.35,12.2,0.76%,1598.78,1619.07,26701212,1516301.88,-
2006-08-23,1614.39,1612.4,-0.96,-0.06%,1608.74,1621.4,27212908,1545540.62,-
2006-08-24,1612.7,1623.02,10.62,0.66%,1601.89,1623.17,25061296,1359369.25,-
2006-08-25,1622.48,1623.03,0.02,0.00%,1619.73,1630.05,27821614,1529523.88,-
2006-08-28,1627.12,1650.44,27.4,1.69%,1624.28,1651.29,39341244,2163300.75,-
2006-08-29,1652.67,1651.02,0.59,0.04%,1649.59,1667.53,48050412,2706362.25,-
2006-08-30,1648.35,1655.19,4.17,0.25%,1640.28,1656.23,31442856,1723094.88,-
2006-08-31,1655.9,1658.64,3.44,0.21%,1650.0,1661.47,35135016,1908755.25,-
2006-09-01,1658.66,1636.69,-21.95,-1.32%,1634.03,1660.52,35954576,1972446.25,-
2006-09-04,1635.33,1657.52,20.83,1.27%,1635.12,1657.69,33093428,1762387.38,-
2006-09-05,1659.74,1664.08,6.56,0.40%,1657.05,1669.9,40533492,2194628.75,-
2006-09-06,1665.13,1672.12,8.04,0.48%,1656.86,1672.26,33579624,1825568.38,-
2006-09-07,1683.78,1661.19,-10.93,-0.65%,1655.41,1683.89,31522754,1752465.0,-
2006-09-08,1659.7,1667.98,6.79,0.41%,1658.67,1671.31,26552028,1410279.5,-
2006-09-11,1668.16,1674.97,6.98,0.42%,1653.01,1675.09,30590528,1679759.0,-
2006-09-12,1675.2,1695.86,20.9,1.25%,1673.44,1699.58,37390452,1983054.62,-
2006-09-13,1695.35,1689.39,-6.47,-0.38%,1687.05,1713.99,43045692,2271690.5,-
2006-09-14,1689.63,1689.69,0.3,0.02%,1672.88,1696.62,33888260,1857680.62,-
2006-09-15,1689.6,1721.05,31.35,1.86%,1689.51,1722.66,47032304,2411464.5,-
2006-09-18,1727.92,1732.99,11.94,0.69%,1719.16,1733.41,44840064,2370820.5,-
2006-09-19,1735.3,1735.24,2.25,0.13%,1728.29,1743.02,43455328,2321063.25,-
2006-09-20,1733.64,1732.45,-2.79,-0.16%,1720.83,1737.73,38836572,2082085.5,-
2006-09-21,1731.58,1740.9,8.45,0.49%,1731.22,1743.63,39533144,2148409.75,-
2006-09-22,1744.6,1725.36,-15.54,-0.89%,1724.1,1746.61,44777832,2550982.0,-
2006-09-25,1722.74,1722.37,-2.99,-0.17%,1709.77,1732.28,40168092,2296024.75,-
2006-09-26,1720.78,1712.64,-9.73,-0.56%,1704.77,1721.58,33134530,1851917.12,-
2006-09-27,1711.51,1725.04,12.4,0.72%,1709.77,1725.5,29247158,1639191.0,-
2006-09-28,1725.52,1736.96,11.92,0.69%,1722.22,1740.79,33979856,1991652.5,-
2006-09-29,1740.06,1752.42,15.46,0.89%,1740.06,1755.69,41236284,2346227.25,-
2006-10-09,1768.14,1785.39,32.96,1.88%,1763.11,1786.11,52935144,2908245.0,-
2006-10-10,1784.22,1784.86,-0.52,-0.03%,1771.86,1793.14,55136492,3145919.0,-
2006-10-11,1784.52,1790.1,5.24,0.29%,1771.02,1792.76,49283880,2631018.25,-
2006-10-12,1790.63,1778.18,-11.92,-0.67%,1774.14,1792.24,53169044,2813239.75,-
2006-10-13,1776.51,1784.66,6.47,0.36%,1773.23,1792.87,42539844,2339310.5,-
2006-10-16,1787.7,1771.3,-13.36,-0.75%,1766.31,1789.18,46766160,2477903.75,-
2006-10-17,1768.63,1763.9,-7.4,-0.42%,1758.31,1777.6,39262344,2175513.25,-
2006-10-18,1762.4,1787.19,23.28,1.32%,1760.88,1787.74,36810564,2040455.62,-
2006-10-19,1788.58,1792.25,5.07,0.28%,1784.34,1799.29,41490608,2272145.0,-
2006-10-20,1792.6,1790.36,-1.89,-0.11%,1786.34,1801.33,41461600,2354979.5,-
2006-10-23,1789.65,1759.39,-30.97,-1.73%,1753.49,1797.43,44441084,2457674.75,-
2006-10-24,1756.46,1805.18,45.79,2.60%,1756.46,1805.27,39911208,2251617.0,-
2006-10-25,1807.03,1806.65,1.47,0.08%,1789.91,1825.61,44512260,2591001.5,-
