日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2010-06-01,986.02,973.23,-26.77,-2.68%,948.12,994.79,1356285,492417.69,-
2010-06-02,967.61,997.12,23.89,2.45%,952.61,997.12,1074628,400120.62,-
2010-06-03,1002.35,998.39,1.27,0.13%,997.78,1026.7,1616806,624083.56,-
2010-06-04,989.68,1027.68,29.29,2.93%,986.5,1027.68,1500295,526944.06,-
2010-06-07,1005.03,1069.47,41.79,4.07%,1001.7,1075.22,2655275,910609.5,-
2010-06-08,1067.32,1067.15,-2.32,-0.22%,1050.96,1075.5,1976721,662199.44,-
2010-06-09,1070.85,1077.82,10.67,1.00%,1069.43,1102.1,2541568,899486.62,-
2010-06-10,1077.68,1117.48,39.66,3.68%,1076.28,1119.11,2197405,824273.12,-
2010-06-11,1122.44,1122.2,4.72,0.42%,1118.71,1128.23,2224874,844903.94,-
2010-06-17,1126.13,1064.84,-57.36,-5.11%,1064.84,1129.69,1764284,675740.94,-
2010-06-18,1052.07,1000.28,-64.56,-6.06%,993.17,1053.14,1630651,582772.12,-
2010-06-21,991.96,1040.8,40.52,4.05%,976.41,1043.16,1574798,560426.94,-
2010-06-22,1037.04,1035.0,-5.8,-0.56%,1033.65,1057.36,1427162,506748.0,-
2010-06-23,1026.86,1047.34,12.34,1.19%,1023.74,1056.35,1257360,460867.22,-
2010-06-24,1046.76,1050.6,3.26,0.31%,1041.54,1059.75,1069133,390494.78,-
2010-06-25,1046.21,1016.28,-34.32,-3.27%,999.16,1046.21,1237298,451566.44,-
2010-06-28,1009.22,987.83,-28.45,-2.80%,984.22,1014.41,920673,346355.22,-
2010-06-29,985.57,913.31,-74.52,-7.54%,912.54,992.23,1497800,529389.69,-
2010-06-30,898.29,919.31,6.0,0.66%,881.36,921.81,1223661,385215.84,-
2010-07-01,914.4,882.19,-37.12,-4.04%,882.19,921.21,1049573,366377.38,-
2010-07-02,878.95,873.12,-9.07,-1.03%,832.62,885.34,1288834,421266.19,-
2010-07-05,857.37,862.27,-10.85,-1.24%,842.73,870.86,915864,285173.59,-
2010-07-06,859.26,893.72,31.45,3.65%,857.8,898.45,1165232,375105.56,-
2010-07-07,896.53,908.55,14.83,1.66%,890.34,908.55,1046163,334247.38,-
2010-07-08,912.0,905.51,-3.04,-0.33%,887.03,914.3,1098088,378069.88,-
2010-07-09,903.5,932.15,26.64,2.94%,896.89,936.53,1451460,474325.66,-
2010-07-12,931.53,930.17,-1.98,-0.21%,924.06,941.07,1263618,418814.72,-
2010-07-13,924.95,931.08,0.91,0.10%,906.3,936.64,1468658,474413.56,-
2010-07-14,929.75,922.36,-8.72,-0.94%,916.07,937.93,1423586,464808.03,-
2010-07-15,920.05,892.56,-29.8,-3.23%,892.56,930.55,1175881,396049.06,-
2010-07-16,885.07,892.3,-0.26,-0.03%,869.02,895.06,1009312,326422.16,-
2010-07-19,881.66,908.05,15.75,1.77%,878.07,910.18,938803,299258.41,-
2010-07-20,909.54,937.02,28.97,3.19%,909.54,937.54,1365809,455958.06,-
2010-07-21,940.1,941.25,4.23,0.45%,938.16,959.04,1665746,596065.38,-
2010-07-22,938.22,950.21,8.96,0.95%,932.02,950.21,1326603,435666.94,-
2010-07-23,951.84,960.59,10.38,1.09%,948.13,964.74,1721251,533908.62,-
2010-07-26,962.76,966.15,5.56,0.58%,954.76,966.73,1476036,462604.5,-
2010-07-27,963.54,957.97,-8.18,-0.85%,955.73,968.04,1361821,457408.66,-
2010-07-28,955.19,972.53,14.56,1.52%,954.52,972.53,1566183,518722.75,-
2010-07-29,974.29,975.36,2.83,0.29%,965.61,982.02,1794193,589785.38,-
2010-07-30,971.66,968.43,-6.93,-0.71%,955.92,971.66,1458487,504947.31,-
2010-08-02,968.45,994.23,25.8,2.66%,968.45,994.23,1810364,610440.75,-
2010-08-03,995.2,975.65,-18.58,-1.87%,975.65,996.26,1757059,595141.5,-
2010-08-04,971.41,978.01,2.36,0.24%,955.93,978.01,1446166,475829.72,-
2010-08-05,980.27,987.35,9.34,0.95%,978.33,998.1,1770400,603398.69,-
2010-08-06,987.97,1011.39,24.04,2.43%,985.63,1011.39,1899061,622531.69,-
2010-08-09,1013.24,1032.34,20.95,2.07%,1013.24,1032.34,2091995,691889.88,-
2010-08-10,1031.98,993.99,-38.35,-3.71%,993.99,1034.33,2177072,710682.25,-
2010-08-11,991.28,1004.64,10.65,1.07%,990.94,1006.45,1615078,518018.97,-
2010-08-12,994.05,991.78,-12.86,-1.28%,987.98,1007.58,1689189,531605.56,-
2010-08-13,992.63,1007.21,15.43,1.56%,986.62,1007.52,1471798,483145.0,-
2010-08-16,1007.5,1030.22,23.01,2.28%,1005.05,1031.05,1880400,619992.31,-
2010-08-17,1031.07,1033.58,3.36,0.33%,1023.08,1036.82,1800777,609295.19,-
2010-08-18,1033.71,1026.72,-6.86,-0.66%,1018.5,1035.61,1643502,572127.88,-
2010-08-19,1026.98,1025.53,-1.19,-0.12%,1021.7,1033.25,1624534,554740.69,-
2010-08-20,1021.46,995.94,-29.59,-2.88%,993.56,1022.45,1870225,659777.19,-
2010-08-23,994.94,995.61,-0.33,-0.03%,991.52,1001.18,1456014,506415.0,-
2010-08-24,993.58,1004.99,9.38,0.94%,987.22,1007.76,1365052,494214.88,-
2010-08-25,1000.27,976.88,-28.1,-2.80%,976.55,1002.33,1501343,524765.81,-
2010-08-26,978.6,980.63,3.75,0.38%,973.0,984.87,1288066,466832.91,-
2010-08-27,978.51,999.46,18.83,1.92%,975.72,1000.86,1216243,449046.62,-
2010-08-30,1002.99,1024.93,25.47,2.55%,1002.99,1025.15,1645412,599785.12,-
2010-08-31,1020.75,1025.57,0.64,0.06%,1015.13,1029.8,1534700,574261.75,-
2010-09-01,1025.68,995.59,-29.98,-2.92%,987.59,1029.81,1864362,680522.31,-
2010-09-02,1001.6,1014.92,19.33,1.94%,996.52,1018.28,1630858,590510.25,-
2010-09-03,1017.64,1036.7,21.78,2.15%,1017.51,1045.21,2289365,844872.44,-
2010-09-06,1039.46,1010.76,-25.94,-2.50%,1007.43,1043.24,1813081,646621.25,-
2010-09-07,1010.11,1022.62,11.86,1.17%,1007.64,1022.62,1284515,458603.12,-
2010-09-08,1020.23,1026.33,3.71,0.36%,1016.84,1027.64,1403819,479594.59,-
2010-09-09,1029.11,1021.83,-4.5,-0.44%,1019.69,1040.67,1959803,640498.31,-
2010-09-10,1021.87,1034.94,13.11,1.28%,1016.19,1037.51,1812290,574387.25,-
2010-09-13,1034.39,1042.48,7.54,0.73%,1033.25,1045.39,1667890,552766.06,-
2010-09-14,1044.3,1031.22,-11.26,-1.08%,1028.77,1046.13,1590232,555420.44,-
2010-09-15,1029.52,990.1,-41.12,-3.99%,987.05,1030.02,1818274,623821.25,-
2010-09-16,989.49,972.6,-17.5,-1.77%,964.53,994.95,1442058,484302.94,-
2010-09-17,976.07,972.23,-0.37,-0.04%,967.55,981.73,967841,327160.12,-
2010-09-20,972.45,949.2,-23.03,-2.37%,947.41,975.26,923659,313627.12,-
2010-09-21,952.07,934.46,-14.74,-1.55%,930.25,953.83,835859,266443.0,-
2010-09-27,936.21,950.67,16.21,1.73%,930.86,951.84,892937,289653.41,-
2010-09-28,949.63,942.05,-8.62,-0.91%,939.63,949.89,939434,294371.03,-
2010-09-29,941.27,926.76,-15.29,-1.62%,924.41,944.17,831735,280526.38,-
2010-09-30,923.83,942.54,15.78,1.70%,921.36,942.54,699737,225241.31,-
2010-10-08,946.47,959.86,17.32,1.84%,945.62,963.18,1083960,341585.03,-
2010-10-11,960.91,947.11,-12.75,-1.33%,941.91,961.17,1446870,470248.66,-
2010-10-12,946.63,951.79,4.68,0.49%,945.01,959.98,1240192,391527.88,-
2010-10-13,951.33,962.74,10.95,1.15%,940.65,962.74,1330517,412369.06,-
2010-10-14,963.29,958.5,-4.24,-0.44%,956.86,975.91,1396406,457734.72,-
2010-10-15,954.12,944.25,-14.24,-1.49%,937.12,957.77,1352498,434311.12,-
2010-10-18,941.87,932.36,-11.89,-1.26%,913.82,941.87,1327876,424301.25,-
2010-10-19,932.83,995.92,63.56,6.82%,932.32,1005.59,2339086,775244.31,-
2010-10-20,986.65,1004.54,8.62,0.87%,986.03,1024.58,2638133,859775.0,-
2010-10-21,1001.68,991.84,-12.7,-1.26%,983.66,1001.68,1569123,485364.69,-
2010-10-22,991.14,1013.45,21.61,2.18%,991.14,1023.7,1765749,559642.62,-
2010-10-25,1018.08,1039.05,25.6,2.53%,1018.08,1043.09,2063689,671741.0,-
2010-10-26,1041.53,1036.01,-3.04,-0.29%,1020.94,1041.91,1838414,589969.38,-
2010-10-27,1034.86,1030.59,-5.42,-0.52%,1028.7,1048.56,1701689,562718.75,-
2010-10-28,1024.7,1038.62,8.03,0.78%,1023.49,1038.62,1592477,536352.06,-
2010-10-29,1042.4,1064.52,25.9,2.49%,1042.4,1069.75,2235518,767878.38,-
2010-11-01,1071.63,1107.52,43.0,4.04%,1071.63,1113.62,2817900,983659.62,-
2010-11-02,1108.09,1075.15,-32.37,-2.92%,1074.58,1108.09,2454532,865922.12,-
2010-11-03,1063.2,1040.62,-34.53,-3.21%,1040.55,1063.2,1620492,545422.31,-
2010-11-04,1041.42,1057.71,17.09,1.64%,1037.24,1057.71,1338790,454920.84,-
2010-11-05,1067.87,1072.22,14.51,1.37%,1058.26,1072.22,1397024,479582.22,-
2010-11-08,1077.5,1107.06,34.84,3.25%,1077.5,1107.06,1786498,623522.0,-
2010-11-09,1110.43,1115.65,8.59,0.78%,1102.01,1117.52,1900222,674654.75,-
2010-11-10,1115.74,1141.58,25.93,2.32%,1113.75,1147.48,2266694,791695.88,-
2010-11-11,1137.08,1132.72,-8.86,-0.78%,1132.36,1163.7,2297906,797245.94,-
2010-11-12,1126.85,1082.24,-50.48,-4.46%,1080.27,1140.63,2292284,805011.25,-
2010-11-15,1087.81,1148.54,66.3,6.13%,1086.52,1148.54,2091313,772172.94,-
2010-11-16,1154.41,1126.18,-22.36,-1.95%,1111.5,1175.31,2894465,1038697.75,-
2010-11-17,1115.12,1085.35,-40.82,-3.63%,1080.93,1132.86,2076114,710650.38,-
2010-11-18,1090.14,1102.85,17.5,1.61%,1077.06,1102.84,1569907,521980.69,-
2010-11-19,1106.75,1153.17,50.32,4.56%,1105.59,1153.17,2414228,811127.75,-
2010-11-22,1153.26,1174.94,21.77,1.89%,1151.76,1194.2,3034244,1060855.38,-
2010-11-23,1172.06,1183.5,8.56,0.73%,1148.81,1183.84,2157363,768175.12,-
2010-11-24,1176.42,1208.45,24.95,2.11%,1174.68,1208.45,2120383,759437.88,-
2010-11-25,1212.77,1186.36,-22.09,-1.83%,1177.83,1215.74,2101210,752684.31,-
2010-11-26,1184.8,1196.02,9.66,0.81%,1179.28,1200.5,1747079,632563.31,-
2010-11-29,1195.31,1220.11,24.09,2.01%,1193.41,1221.74,1964042,728794.62,-
2010-11-30,1219.08,1181.5,-38.61,-3.16%,1146.97,1219.12,2362348,851600.62,-
2010-12-01,1176.61,1177.18,-4.32,-0.37%,1169.89,1182.57,1194692,436779.41,-
2010-12-02,1187.1,1177.84,0.66,0.06%,1177.81,1192.8,1251549,463597.72,-
2010-12-03,1177.17,1157.94,-19.9,-1.69%,1148.09,1178.67,1204868,445079.81,-
2010-12-06,1157.72,1134.38,-23.56,-2.03%,1124.94,1159.3,1133121,405991.84,-
2010-12-07,1132.33,1161.69,27.31,2.41%,1123.76,1162.58,924936,343238.66,-
2010-12-08,1160.92,1160.24,-1.45,-0.12%,1158.1,1176.42,1018374,380419.09,-
2010-12-09,1158.82,1144.53,-15.71,-1.35%,1144.18,1160.91,996302,361731.62,-
2010-12-10,1139.83,1166.8,22.27,1.95%,1136.33,1167.68,1029898,386552.22,-
2010-12-13,1175.51,1209.27,42.47,3.64%,1175.51,1210.75,1624762,623317.5,-
2010-12-14,1211.46,1218.52,9.25,0.76%,1204.66,1219.71,1422650,533962.62,-
2010-12-15,1217.81,1211.8,-6.72,-0.55%,1209.29,1224.05,1428834,525572.19,-
2010-12-16,1209.62,1225.03,13.23,1.09%,1209.34,1233.62,1475230,529529.31,-
2010-12-17,1222.93,1232.98,7.95,0.65%,1222.93,1233.39,1283842,480174.09,-
2010-12-20,1235.67,1212.34,-20.64,-1.67%,1180.53,1239.6,1749593,678841.56,-
2010-12-21,1212.09,1215.02,2.68,0.22%,1204.48,1222.3,1210381,449164.34,-
2010-12-22,1214.77,1201.65,-13.37,-1.10%,1199.68,1215.79,1109218,405762.28,-
2010-12-23,1198.74,1176.36,-25.29,-2.10%,1175.86,1200.76,1073045,410642.06,-
2010-12-24,1170.69,1144.5,-31.86,-2.71%,1140.13,1170.69,1011828,382436.25,-
2010-12-27,1145.7,1105.3,-39.2,-3.43%,1100.52,1154.53,996825,368671.56,-
2010-12-28,1098.94,1091.48,-13.82,-1.25%,1080.4,1099.18,942166,322639.41,-
2010-12-29,1091.82,1113.31,21.83,2.00%,1091.82,1113.31,789672,284955.88,-
2010-12-30,1113.56,1117.21,3.9,0.35%,1106.43,1122.41,821867,302875.34,-
2010-12-31,1117.36,1137.66,20.45,1.83%,1117.36,1138.47,841735,319030.41,-
2011-01-04,1142.17,1155.11,17.45,1.53%,1140.04,1155.52,1063297,438379.53,-
2011-01-05,1153.91,1155.35,0.24,0.02%,1146.38,1159.12,1060820,430636.75,-
2011-01-06,1153.63,1134.79,-20.56,-1.78%,1134.09,1159.41,1048502,428262.97,-
2011-01-07,1132.73,1126.52,-8.27,-0.73%,1119.61,1139.78,968003,390293.31,-
2011-01-10,1124.34,1093.77,-32.75,-2.91%,1089.06,1124.34,952945,379947.5,-
2011-01-11,1089.99,1078.37,-15.4,-1.41%,1068.4,1089.99,865876,322166.16,-
2011-01-12,1083.12,1089.67,11.3,1.05%,1071.09,1095.52,845992,332545.25,-
2011-01-13,1094.83,1093.86,4.19,0.38%,1089.67,1097.1,810424,314197.59,-
2011-01-14,1092.09,1067.42,-26.44,-2.42%,1065.75,1092.09,776254,296777.31,-
2011-01-17,1066.44,1028.16,-39.26,-3.68%,1025.66,1066.99,1055444,420238.5,-
2011-01-18,1021.84,1025.72,-2.44,-0.24%,1014.63,1029.86,621664,240006.33,-
2011-01-19,1025.93,1048.54,22.82,2.23%,1023.15,1048.6,706158,274438.84,-
2011-01-20,1047.77,1020.39,-28.14,-2.68%,1020.29,1051.52,869368,337956.5,-
2011-01-21,1014.72,1024.51,4.12,0.40%,1013.27,1033.52,789202,309007.97,-
2011-01-24,1024.79,994.97,-29.54,-2.88%,994.26,1029.33,848296,347459.56,-
2011-01-25,992.57,979.0,-15.97,-1.60%,968.32,992.57,737262,270084.03,-
2011-01-26,978.07,995.74,16.74,1.71%,977.85,995.78,576256,213443.02,-
2011-01-27,991.06,1013.02,17.28,1.73%,984.79,1015.05,708372,254658.16,-
2011-01-28,1013.64,1020.94,7.92,0.78%,1011.3,1023.63,595663,218940.28,-
2011-01-31,1021.63,1029.12,8.18,0.80%,1014.4,1030.19,722807,273718.16,-
2011-02-01,1029.67,1032.6,3.48,0.34%,1026.9,1034.14,591058,228851.66,-
2011-02-09,1026.45,1025.15,-7.45,-0.72%,1021.79,1037.84,630347,239160.02,-
2011-02-10,1026.25,1063.95,38.8,3.78%,1024.71,1063.95,1000706,369281.62,-
2011-02-11,1067.19,1071.58,7.63,0.72%,1065.15,1075.59,1017532,382689.19,-
2011-02-14,1072.31,1086.56,14.98,1.40%,1072.31,1087.31,1193518,456889.84,-
2011-02-15,1086.8,1087.73,1.17,0.11%,1082.27,1097.56,1184561,448433.16,-
2011-02-16,1086.77,1107.24,19.52,1.79%,1083.85,1107.24,1244423,480165.78,-
2011-02-17,1108.63,1115.33,8.09,0.73%,1103.89,1116.96,1319628,532510.12,-
2011-02-18,1114.45,1100.46,-14.87,-1.33%,1098.58,1114.69,1296525,499305.94,-
2011-02-21,1096.17,1117.67,17.21,1.56%,1094.43,1117.67,1420470,567840.56,-
2011-02-22,1118.61,1088.27,-29.4,-2.63%,1087.01,1122.18,1397309,559656.81,-
2011-02-23,1088.08,1114.05,25.78,2.37%,1087.86,1117.29,1281834,576298.0,-
