日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率
2006-08-14,1275.14,1245.72,-29.93,-2.35%,1241.95,1279.31,16444468,987053.06,-
2006-08-15,1243.16,1265.86,20.14,1.62%,1239.91,1265.86,14319360,859250.38,-
2006-08-16,1266.82,1283.57,17.7,1.40%,1262.54,1283.57,20802744,1226702.0,-
2006-08-17,1280.28,1271.63,-11.94,-0.93%,1263.93,1280.28,15457905,884386.62,-
2006-08-18,1270.22,1267.87,-3.76,-0.30%,1265.82,1280.83,13964524,795134.12,-
2006-08-21,1235.43,1270.56,2.7,0.21%,1229.17,1270.67,15064765,866163.12,-
2006-08-22,1270.1,1285.27,14.71,1.16%,1269.1,1289.02,17200942,1122412.12,-
2006-08-23,1284.82,1285.68,0.41,0.03%,1282.84,1294.82,19092876,1221559.12,-
2006-08-24,1284.83,1292.4,6.72,0.52%,1274.56,1292.4,15081306,941660.56,-
2006-08-25,1293.5,1295.44,3.04,0.23%,1292.45,1301.75,18557936,1158628.0,-
2006-08-28,1298.46,1325.89,30.46,2.35%,1298.36,1325.89,26183290,1664098.62,-
2006-08-29,1328.61,1330.16,4.26,0.32%,1327.0,1349.2,31766376,2055859.88,-
2006-08-30,1328.37,1334.67,4.52,0.34%,1319.82,1336.39,21139948,1299458.25,-
2006-08-31,1335.59,1338.69,4.02,0.30%,1331.29,1342.79,23188276,1393200.12,-
2006-09-01,1339.31,1318.1,-20.59,-1.54%,1314.57,1340.12,25033688,1483225.25,-
2006-09-04,1315.71,1337.24,19.14,1.45%,1315.61,1337.24,21095340,1247037.38,-
2006-09-05,1339.59,1340.68,3.44,0.26%,1334.72,1345.71,26868108,1595967.0,-
2006-09-06,1341.4,1346.37,5.68,0.42%,1331.85,1346.37,23153112,1379960.38,-
2006-09-07,1348.17,1328.38,-17.99,-1.34%,1323.98,1348.28,21886448,1305500.0,-
2006-09-08,1327.56,1332.15,3.78,0.28%,1326.25,1334.73,17230274,1015779.44,-
2006-09-11,1331.89,1338.76,6.6,0.50%,1319.21,1338.76,20947266,1283928.62,-
2006-09-12,1338.81,1347.64,8.88,0.66%,1337.3,1350.53,27301890,1578725.75,-
2006-09-13,1348.85,1338.39,-9.25,-0.69%,1337.46,1356.86,32821192,1870175.0,-
2006-09-14,1338.35,1338.28,-0.11,-0.01%,1323.8,1345.59,22217286,1367951.75,-
2006-09-15,1338.41,1362.32,24.04,1.80%,1338.14,1362.4,36057148,1959462.88,-
2006-09-18,1367.65,1375.56,13.24,0.97%,1362.14,1375.58,31454850,1818762.25,-
2006-09-19,1377.72,1378.31,2.75,0.20%,1371.43,1385.62,26648302,1594286.12,-
2006-09-20,1376.12,1378.46,0.15,0.01%,1365.72,1381.81,23445880,1401724.0,-
2006-09-21,1378.46,1387.37,8.91,0.65%,1378.46,1390.62,26094120,1602613.12,-
2006-09-22,1389.87,1374.85,-12.52,-0.90%,1373.94,1393.53,28265042,1817317.0,-
2006-09-25,1372.81,1372.4,-2.45,-0.18%,1361.61,1383.77,24584780,1549380.38,-
2006-09-26,1370.86,1357.65,-14.75,-1.07%,1351.18,1371.58,19703278,1195375.88,-
2006-09-27,1357.28,1371.12,13.47,0.99%,1355.39,1371.12,17580322,1089780.5,-
2006-09-28,1372.13,1387.0,15.89,1.16%,1369.4,1389.56,21687792,1407085.38,-
2006-09-29,1389.07,1403.27,16.26,1.17%,1389.04,1405.56,27166744,1734763.88,-
